bisgHispanic,bisgBlack,bisgWhite,bisgAian,bisgApi,bisgMulti,race50,race60,race70,race75,race80,proxy_race,proxy_race_status,probThreshold,race_threshold
,,,,,,,,,,,Unknown,Unknown,75,75
0.83,0.01,0.02,0.0,0.11,0.03,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.97,0.0,0.03,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.84,0.0,0.07,0.01,0.06,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.85,0.0,0.11,0.01,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.98,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.28,0.64,0.02,0.01,0.05,White,White,,,,Unknown,Unknown,75,75
0.97,0.0,0.01,0.01,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.0,0.96,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.74,0.0,0.22,0.01,0.01,0.02,Hispanic,Hispanic,Hispanic,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.0,0.98,0.0,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.38,0.0,0.4,0.0,0.17,0.05,,,,,,Unknown,Unknown,75,75
0.01,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.01,0.95,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.0,0.0,0.95,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.01,0.02,0.93,0.01,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.85,0.0,0.08,0.01,0.05,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.92,0.0,0.01,0.0,0.07,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.03,0.03,0.91,0.01,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.03,0.95,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.02,0.0,0.96,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.03,0.0,0.95,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.02,0.0,0.95,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.95,0.0,0.03,0.0,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.02,0.88,0.02,0.01,0.06,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.96,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.72,0.28,0.0,0.0,0.0,Black,Black,Black,,,Unknown,Unknown,75,75
0.01,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.9,0.0,0.08,0.01,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.04,0.9,0.01,0.01,0.03,White,White,White,White,White,White,Unprotected,75,75
0.01,0.01,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.03,0.0,0.86,0.0,0.06,0.04,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.06,0.87,0.01,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.02,0.01,0.95,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.83,0.0,0.15,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.05,0.92,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.02,0.0,0.95,0.02,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.94,0.03,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.05,0.0,0.95,0.0,0.0,0.0,White,White,White,White,White,White,Unprotected,75,75
0.01,0.01,0.89,0.02,0.05,0.03,White,White,White,White,White,White,Unprotected,75,75
0.47,0.0,0.04,0.01,0.43,0.06,,,,,,Unknown,Unknown,75,75
0.87,0.0,0.11,0.0,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.94,0.0,0.04,0.01,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.01,0.92,0.04,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.95,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.88,0.0,0.04,0.07,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.26,0.64,0.01,0.01,0.07,White,White,,,,Unknown,Unknown,75,75
0.01,0.38,0.08,0.0,0.28,0.26,,,,,,Unknown,Unknown,75,75
0.0,0.02,0.9,0.05,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.02,0.04,0.88,0.02,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.01,0.01,0.95,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.95,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.03,0.02,0.92,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.93,0.0,0.06,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.0,0.0,0.97,0.03,Api,Api,Api,Api,Api,Api,Protected,75,75
0.02,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.04,0.88,0.03,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.99,0.0,0.01,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.01,0.86,0.11,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.06,0.1,0.78,0.03,0.0,0.02,White,White,White,White,,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.0,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.15,0.0,0.82,0.0,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.02,0.24,0.67,0.01,0.01,0.05,White,White,,,,Unknown,Unknown,75,75
0.0,0.0,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.02,0.92,0.02,0.01,0.03,White,White,White,White,White,White,Unprotected,75,75
0.02,0.01,0.85,0.0,0.05,0.06,White,White,White,White,White,White,Unprotected,75,75
0.87,0.0,0.11,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.0,0.99,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.02,0.02,0.92,0.0,0.01,0.03,White,White,White,White,White,White,Unprotected,75,75
0.79,0.0,0.17,0.02,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,,Hispanic,Protected,75,75
0.98,0.0,0.02,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.04,0.0,0.94,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.93,0.01,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
0.03,0.0,0.94,0.0,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.91,0.0,0.04,0.01,0.03,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.06,0.0,0.86,0.04,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.01,0.95,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.92,0.0,0.07,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.92,0.0,0.06,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.01,0.94,0.02,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.13,0.01,0.66,0.01,0.12,0.07,White,White,,,,Unknown,Unknown,75,75
0.74,0.0,0.26,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,,,Unknown,Unknown,75,75
0.04,0.07,0.84,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.92,0.0,0.06,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.08,0.85,0.01,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.0,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.06,0.58,0.31,0.01,0.0,0.04,Black,,,,,Unknown,Unknown,75,75
0.01,0.05,0.89,0.01,0.01,0.03,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.0,0.0,0.98,0.0,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.88,0.0,0.08,0.01,0.02,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.99,0.0,0.01,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.98,0.0,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.11,0.04,0.77,0.07,0.0,0.02,White,White,White,White,,White,Unprotected,75,75
0.95,0.0,0.04,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.95,0.0,0.05,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.63,0.0,0.27,0.06,0.0,0.03,Hispanic,Hispanic,,,,Unknown,Unknown,75,75
0.01,0.0,0.93,0.01,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
0.95,0.0,0.03,0.0,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.01,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.02,0.11,0.81,0.01,0.02,0.04,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.86,0.11,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.87,0.02,0.07,0.02,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.95,0.0,0.0,0.04,White,White,White,White,White,White,Unprotected,75,75
0.01,0.01,0.95,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.01,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.9,0.0,0.09,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.94,0.02,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.97,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.02,0.91,0.01,0.02,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.02,0.93,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.93,0.0,0.03,0.0,0.03,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.0,0.0,0.99,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.71,0.0,0.25,0.01,0.01,0.01,Hispanic,Hispanic,Hispanic,,,Unknown,Unknown,75,75
0.03,0.03,0.9,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.01,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.0,0.0,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.02,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.99,0.0,0.01,0.0,White,White,White,White,White,White,Unprotected,75,75
0.01,0.06,0.88,0.01,0.0,0.05,White,White,White,White,White,White,Unprotected,75,75
0.02,0.07,0.86,0.01,0.02,0.03,White,White,White,White,White,White,Unprotected,75,75
0.86,0.0,0.1,0.01,0.02,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.02,0.33,0.58,0.01,0.02,0.05,White,,,,,Unknown,Unknown,75,75
0.09,0.0,0.88,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.94,0.0,0.05,0.0,0.01,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.38,0.02,0.36,0.0,0.04,0.21,,,,,,Unknown,Unknown,75,75
0.01,0.0,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.01,0.96,0.01,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.12,0.0,0.75,0.04,0.07,0.02,White,White,White,,,Unknown,Unknown,75,75
0.0,0.0,0.97,0.0,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.97,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.98,0.0,0.01,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.02,0.34,0.54,0.02,0.01,0.07,White,,,,,Unknown,Unknown,75,75
0.0,0.0,0.97,0.0,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.94,0.0,0.05,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.99,0.01,0.0,0.0,White,White,White,White,White,White,Unprotected,75,75
0.01,0.19,0.74,0.01,0.0,0.04,White,White,White,,,Unknown,Unknown,75,75
0.0,0.0,0.0,0.0,0.98,0.01,Api,Api,Api,Api,Api,Api,Protected,75,75
0.02,0.04,0.89,0.0,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.96,0.0,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.02,0.0,0.94,0.02,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.12,0.27,0.57,0.01,0.01,0.03,White,,,,,Unknown,Unknown,75,75
0.01,0.02,0.94,0.0,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.92,0.01,0.02,0.04,White,White,White,White,White,White,Unprotected,75,75
0.86,0.0,0.06,0.01,0.03,0.03,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.0,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.99,0.0,0.0,0.0,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.78,0.2,0.0,0.01,White,White,White,White,,White,Unprotected,75,75
0.02,0.02,0.94,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.01,0.92,0.03,0.0,0.03,White,White,White,White,White,White,Unprotected,75,75
0.08,0.01,0.09,0.0,0.79,0.03,Api,Api,Api,Api,,Api,Protected,75,75
0.01,0.0,0.98,0.01,0.0,0.0,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.03,0.95,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.97,0.0,0.02,0.0,0.01,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.01,0.02,0.94,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.01,0.01,0.95,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.95,0.02,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.03,0.09,0.8,0.02,0.01,0.05,White,White,White,White,,White,Unprotected,75,75
0.8,0.0,0.1,0.0,0.07,0.02,Hispanic,Hispanic,Hispanic,Hispanic,,Hispanic,Protected,75,75
0.0,0.0,0.96,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.94,0.03,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.96,0.0,0.03,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.79,0.0,0.18,0.01,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,,Hispanic,Protected,75,75
0.01,0.57,0.32,0.01,0.0,0.09,Black,,,,,Unknown,Unknown,75,75
0.01,0.04,0.92,0.0,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.74,0.0,0.23,0.01,0.0,0.02,Hispanic,Hispanic,Hispanic,,,Unknown,Unknown,75,75
0.01,0.09,0.83,0.01,0.01,0.04,White,White,White,White,White,White,Unprotected,75,75
0.02,0.01,0.94,0.02,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.0,0.97,0.01,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.01,0.03,0.94,0.0,0.01,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.0,0.04,0.94,0.0,0.01,Aian,Aian,Aian,Aian,Aian,Aian,Protected,75,75
0.97,0.0,0.02,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.94,0.0,0.05,0.0,0.0,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.02,0.02,0.92,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.66,0.0,0.04,0.0,0.23,0.05,Hispanic,Hispanic,,,,Unknown,Unknown,75,75
0.0,0.0,0.98,0.0,0.0,0.01,White,White,White,White,White,White,Unprotected,75,75
0.0,0.02,0.94,0.0,0.01,0.02,White,White,White,White,White,White,Unprotected,75,75
0.68,0.0,0.08,0.01,0.19,0.04,Hispanic,Hispanic,,,,Unknown,Unknown,75,75
0.93,0.0,0.05,0.0,0.01,0.01,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.03,0.39,0.52,0.02,0.0,0.03,White,,,,,Unknown,Unknown,75,75
0.02,0.01,0.94,0.01,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
0.01,0.08,0.86,0.03,0.0,0.02,White,White,White,White,White,White,Unprotected,75,75
,,,,,,,,,,,Unknown,Unknown,75,75
0.99,0.0,0.01,0.0,0.0,0.0,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.82,0.0,0.13,0.01,0.03,0.02,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Hispanic,Protected,75,75
0.02,0.31,0.57,0.0,0.03,0.06,White,,,,,Unknown,Unknown,75,75
0.01,0.19,0.73,0.01,0.02,0.05,White,White,White,,,Unknown,Unknown,75,75
